train/target,pcm,amh,tha,yor,wbp,tgl,bre,yue,kpv,san,fao,bxr,kmr,hsb,kaz,hye,swl,lit,bel,mar,cop,tam,gle,hun,tel,afr
ru,0.0314,0.0894,0.0885,0.1607,0.2267,0.2397,0.1626,0.0192,0.4384,0.1522,0.2605,0.4771,0.4176,0.5712,0.5266,0.6593,0.6667,0.6925,0.8531,0.7969,0.938,0.7036,0.8589,0.8553,0.8669,0.9369
cs,0.1928,0.0979,0.2396,0.256,0.4161,0.4007,0.3227,0.1165,0.36,0.1927,0.4099,0.4223,0.5317,0.6811,0.5111,0.6546,0.6241,0.6462,0.8336,0.7969,0.932,0.7224,0.855,0.8323,0.8682,0.9306
,,,,,,,,,,,,,,,,,,,,,,,,,,
#1,0.5337,0.2737,0.2885,0.3356,0.5745,0.75,0.3982,0.4093,0.4384,0.3625,0.5292,0.5354,0.6049,0.7112,0.5741,0.6763,0.7837,0.7226,0.8705,0.8638,0.9582,0.8108,0.8786,0.8953,0.8946,0.9494
#2,0.3371,0.2247,0.242,0.3047,0.5745,0.6438,0.3485,0.2695,0.4053,0.333,0.4916,0.5056,0.6009,0.6938,0.573,0.6707,0.7766,0.7151,0.864,0.8482,0.957,0.8081,0.8776,0.8951,0.8863,0.9493
#3,0.3241,0.2134,0.2396,0.2972,0.5466,0.5034,0.3314,0.2457,0.3924,0.3059,0.4681,0.4904,0.5967,0.6916,0.5558,0.6661,0.7766,0.7066,0.8596,0.8438,0.9565,0.8049,0.8773,0.8941,0.8863,0.9482
,,,,,,,,,,,,,,,,,,,,,,,,,,
#1,en,ta,ug,hu,kmr,ga,ga,zh,ru,ug,sme,ug,ta,hr,ug,bxr,fa,bxr,kmr,kk,kk,bxr,ga,te,bxr,mr
#2,sme,sr,ko,sme,kmr,hsb,gl,te,uk,mr,da,ko,hy,pl,tr,pl,uk,hsb,cop,hsb,te,ta,kk,kmr,kk,hsb
#3,sv,cop,cs,pl,fa,gl,hr,ug,ug,tr,sv,bxr,ug,sr,ko,uk,uk,hy,hr,kmr,hsb,swl,swl,hu,kk,sv
